City,Total Sales,Internal Market Share %
New York City,252462.547,11.1633
Los Angeles,173420.181,7.6682
Seattle,116106.322,5.134
San Francisco,109041.1199999999,4.8215
Philadelphia,108841.74900000007,4.8127
Houston,63956.142799999936,2.828
Chicago,47820.13300000002,2.1145
San Diego,47521.028999999995,2.1013
Jacksonville,44713.183,1.9771
Detroit,42446.94400000002,1.8769
Springfield,41827.81,1.8495
Columbus,38662.562999999995,1.7096
Newark,28448.048999999995,1.2579
Columbia,25283.324,1.118
Jackson,24963.857999999997,1.1038
Lafayette,24944.28,1.103
San Antonio,21843.528000000002,0.9659
Burlington,21668.081999999995,0.9581
Arlington,20214.532000000003,0.8938
Dallas,20127.94819999999,0.89
Lakewood,18183.106999999996,0.804
Richmond,17663.869999999995,0.7811
Henderson,17549.067999999996,0.776
Atlanta,17197.84,0.7604
Minneapolis,16870.54,0.746
Providence,15980.649999999994,0.7066
Charlotte,13450.987000000001,0.5948
Long Beach,12308.841999999999,0.5443
Denver,12198.793000000001,0.5394
Louisville,12079.285999999998,0.5341
Aurora,11656.477999999996,0.5154
Franklin,11257.037000000002,0.4978
Phoenix,11000.257,0.4864
Concord,10542.402000000002,0.4662
Milwaukee,10469.04,0.4629
Lancaster,9891.464000000002,0.4374
North Las Vegas,9801.001999999999,0.4334
Huntsville,9194.986799999999,0.4066
Buffalo,9063.496,0.4008
Fairfield,8918.378000000002,0.3944
Miami,8647.826499999996,0.3824
Rochester,7974.53,0.3526
Fresno,7888.5284999999985,0.3488
Yonkers,7657.666,0.3386
Lawrence,7654.191999999999,0.3385
Florence,7603.720000000001,0.3362
Sacramento,7311.278,0.3233
Wilmington,7297.061000000001,0.3227
Tallahassee,7250.668999999999,0.3206
Fayetteville,6925.926000000002,0.3062
Roswell,6652.319999999999,0.2942
Fort Worth,6602.7064,0.292
Oklahoma City,6596.819999999999,0.2917
Pasadena,6590.146000000002,0.2914
Decatur,6334.117000000001,0.2801
Tucson,6313.016,0.2791
Omaha,6312.530000000001,0.2791
Baltimore,6156.842,0.2722
San Jose,6071.228999999999,0.2685
Nashville,6070.863,0.2684
Austin,6057.982000000001,0.2679
Chesapeake,5996.72,0.2652
Oakland,5964.418000000001,0.2637
Memphis,5942.341,0.2628
